,date,user_id,username,name,tweet,mentions,replies_count,retweets_count,likes_count,hashtags,reply_to,Unnamed: 0.1,token,n_frasi,n_parole_uniche,n_lettere ,n_media_parole,word_f,compound,neg,neu,pos,sentimenti
0,2022-05-04,1518917881119059968,simplyslj,Simply SLJ 🏴‍☠️🏴‍☠️🏴‍☠️,😂😂😂🤣🤣😂😂 supporter think dr hughes board cert matter shit show testimony,[],5,1,20, istandwithamberheard johnnydeppvsamberheard johnnydeppamberheardtrial johnnydepp amberheard deppvsheard deppvheard depptrial mentoo drcurry johnnydeppisinnocent ,[],,"['😂😂😂🤣🤣😂😂', 'supporter', 'think', 'dr', 'hughes', 'board', 'cert', 'matter', 'shit', 'show', 'testimony']",1,11,71,5.545454545454546,,-0.34,0.243,0.541,0.216,NEUTRALE
1,2022-05-04,1518917881119059968,simplyslj,Simply SLJ 🏴‍☠️🏴‍☠️🏴‍☠️,dr hughes regurgitating someone else fact remember report,[],1,5,30, amberheard johnnydeppvsamberheard johnnydeppamberheardtrial johnnydepp amberheard deppvsheard deppvheard depptrial mentoo drhughes johnnydeppisinnocent ,[],,"['dr', 'hughes', 'regurgitating', 'someone', 'else', 'fact', 'remember', 'report']",1,8,57,6.25,,0.0,0.0,1.0,0.0,NEUTRALE
2,2022-05-14,1518917881119059968,simplyslj,Simply SLJ 🏴‍☠️🏴‍☠️🏴‍☠️,wrong pr guy working overtime 🙄🙄🙄🙄,[],0,1,3, amberheard johnnydeppamberheardtrial johnnydeppvamberheard deppvsheard lawnerdsunite istandwithamberheard deppheardtrial amberheardlsaliar justiceforjohnnydepp johnnydeppdeservesjustice ,[],,"['wrong', 'pr', 'guy', 'working', 'overtime', '🙄🙄🙄🙄']",1,6,34,4.833333333333333,,-0.4767,0.383,0.617,0.0,NEUTRALE
3,2022-05-13,1518917881119059968,simplyslj,Simply SLJ 🏴‍☠️🏴‍☠️🏴‍☠️,lol picture posted uk paper ok courttv 🙄🙄🙄🙄,"[{'screen_name': 'courttv', 'name': 'court tv', 'id': '1031946753510203392'}]",0,1,2, johnnydeppamberheardtrial johnnydeppvamberheard deppvsheard lawnerdsunite istandwithamberheard courttv deppheardtrial amberheardlsaliar justiceforjohnnydepp johnnydeppdeservesjustice ,[],,"['lol', 'picture', 'posted', 'uk', 'paper', 'ok', 'courttv', '🙄🙄🙄🙄']",1,8,43,4.5,,0.6124,0.0,0.545,0.455,NEUTRALE
4,2022-05-13,1518917881119059968,simplyslj,Simply SLJ 🏴‍☠️🏴‍☠️🏴‍☠️,body language word v action,[],1,0,5, johnnydeppamberheardtrial johnnydeppvamberheard deppvsheard lawnerdsunite istandwithamberheard deppheardtrial amberheardlsaliar justiceforjohnnydepp johnnydeppdeservesjustice ,[],,"['body', 'language', 'word', 'v', 'action']",1,5,27,4.6,,0.0,0.0,1.0,0.0,NEGATIVO
5,2022-05-14,1469091555206123520,karate_kaninen,karatekaninen,seriously never forgot someone supposedly noone source check anymore deep trial stopped caring tyhe truth spread rumour truth always enough stop spreading rumour,[],1,0,1, deppheardtrial deppvsheard ,[],,"['seriously', 'never', 'forgot', 'someone', 'supposedly', 'noone', 'source', 'check', 'anymore', 'deep', 'trial', 'stopped', 'caring', 'tyhe', 'truth', 'spread', 'rumour', 'truth', 'always', 'enough', 'stop', 'spreading', 'rumour']",1,21,161,6.043478260869565,,0.4588,0.19,0.556,0.255,NEGATIVO
6,2022-05-14,1469091555206123520,karate_kaninen,karatekaninen,thatumbrella seriously never forgot someone supposedly noone source check anymore deep trial stopped caring tyhe truth spread rumour truth always enough stop spreading rumour,[],0,0,0, deppheardtrial deppvsheard ,"[{'screen_name': 'ThatUmbrella', 'name': 'ThatUmbrellaGuy', 'id': '901030183213445125'}]",,"['thatumbrella', 'seriously', 'never', 'forgot', 'someone', 'supposedly', 'noone', 'source', 'check', 'anymore', 'deep', 'trial', 'stopped', 'caring', 'tyhe', 'truth', 'spread', 'rumour', 'truth', 'always', 'enough', 'stop', 'spreading', 'rumour']",1,22,174,6.291666666666667,,0.4588,0.184,0.57,0.247,POSITIVO
7,2022-05-14,1469091555206123520,karate_kaninen,karatekaninen,redkml seriously people noone source check anymore deep trial stopped caring tyhe truth spread rumour truth always enough,[],0,1,0, deppheardtrial deppvsheard ,"[{'screen_name': '1009REDkml', 'name': '🏴\u200d☠️Justice for Johnny Depp🏴\u200d☠️🏴\u200d☠️🏴\u200d☠️🏴\u200d☠️', 'id': '1324818982931730432'}]",,"['redkml', 'seriously', 'people', 'noone', 'source', 'check', 'anymore', 'deep', 'trial', 'stopped', 'caring', 'tyhe', 'truth', 'spread', 'rumour', 'truth', 'always', 'enough']",1,17,121,5.777777777777778,,0.6369,0.148,0.533,0.32,NEGATIVO
8,2022-05-16,1469091555206123520,karate_kaninen,karatekaninen,kattenbarge think lot youtubers really care win getting subscriber money tip jar pay fan win meja sang 🎵its bout money,[],0,0,1, deppvsheard johnnydeppvsamberheardtrial ,"[{'screen_name': 'kattenbarge', 'name': 'Kat Tenbarge', 'id': '429485301'}]",,"['kattenbarge', 'think', 'lot', 'youtubers', 'really', 'care', 'win', 'getting', 'subscriber', 'money', 'tip', 'jar', 'pay', 'fan', 'win', 'meja', 'sang', '🎵its', 'bout', 'money']",1,18,118,4.95,,0.9267,0.046,0.494,0.46,NEGATIVO
9,2022-05-16,1469091555206123520,karate_kaninen,karatekaninen,kattenbarge think lot youtubers really care win getting subscriber money tip jar pay fan win meja sang 🎵its bout money,[],0,1,5, deppvsheard johnnydeppvsamberheardtrial ,"[{'screen_name': 'kattenbarge', 'name': 'Kat Tenbarge', 'id': '429485301'}]",,"['kattenbarge', 'think', 'lot', 'youtubers', 'really', 'care', 'win', 'getting', 'subscriber', 'money', 'tip', 'jar', 'pay', 'fan', 'win', 'meja', 'sang', '🎵its', 'bout', 'money']",1,18,118,4.95,,0.9267,0.046,0.494,0.46,POSITIVO
10,2022-05-17,1518917881119059968,simplyslj,Simply SLJ 🏴‍☠️🏴‍☠️🏴‍☠️,tt er going field day legalbytesmedia theemilydbaker,"[{'screen_name': 'legalbytesmedia', 'name': 'legal bytes 🍽💙', 'id': '1262475778631106560'}, {'screen_name': 'theemilydbaker', 'name': 'emily d. baker ⚖️ 💜', 'id': '22594853'}]",0,1,3, johnnydeppvsamberheard deppvsheard lawnerds istandwithamberheard johnnydeppvsamberheardtrial justiceforjohnny amberheard amberheardlsaliar ,[],,"['tt', 'er', 'going', 'field', 'day', 'legalbytesmedia', 'theemilydbaker']",1,7,52,6.571428571428571,,0.0,0.0,1.0,0.0,NEUTRALE
11,2022-05-17,1518917881119059968,simplyslj,Simply SLJ 🏴‍☠️🏴‍☠️🏴‍☠️,believe lying liar lie legalbytesmedia theemilydbaker,"[{'screen_name': 'legalbytesmedia', 'name': 'legal bytes 🍽💙', 'id': '1262475778631106560'}, {'screen_name': 'theemilydbaker', 'name': 'emily d. baker ⚖️ 💜', 'id': '22594853'}]",1,0,11, johnnydeppvsamberheard deppvsheard lawnerds istandwithamberheard johnnydeppvsamberheardtrial justiceforjohnny amberheard amberheardlsaliar ,[],,"['believe', 'lying', 'liar', 'lie', 'legalbytesmedia', 'theemilydbaker']",1,6,53,8.0,,-0.7717,0.626,0.374,0.0,NEGATIVO
12,2022-05-17,1518917881119059968,simplyslj,Simply SLJ 🏴‍☠️🏴‍☠️🏴‍☠️,coming 🍿🍿🍿🍿 legalbytesmedia theemilydbaker,"[{'screen_name': 'legalbytesmedia', 'name': 'legal bytes 🍽💙', 'id': '1262475778631106560'}, {'screen_name': 'theemilydbaker', 'name': 'emily d. baker ⚖️ 💜', 'id': '22594853'}]",0,1,17, beautycommunity johnnydeppvsamberheard deppvsheard lawnerds istandwithamberheard johnnydeppvsamberheardtrial justiceforjohnny amberheard amberheardlsaliar ,[],,"['coming', '🍿🍿🍿🍿', 'legalbytesmedia', 'theemilydbaker']",1,4,42,9.75,,0.0,0.0,1.0,0.0,NEUTRALE
13,2022-05-17,1518917881119059968,simplyslj,Simply SLJ 🏴‍☠️🏴‍☠️🏴‍☠️,going promise pay mortgage bank since work legalbytesmedia theemilydbaker,"[{'screen_name': 'legalbytesmedia', 'name': 'legal bytes 🍽💙', 'id': '1262475778631106560'}, {'screen_name': 'theemilydbaker', 'name': 'emily d. baker ⚖️ 💜', 'id': '22594853'}]",1,0,7, johnnydeppvsamberheard deppvsheard lawnerds istandwithamberheard johnnydeppvsamberheardtrial justiceforjohnny amberheard amberheardlsaliar ,[],,"['going', 'promise', 'pay', 'mortgage', 'bank', 'since', 'work', 'legalbytesmedia', 'theemilydbaker']",1,9,73,7.222222222222222,,0.2263,0.131,0.654,0.215,NEGATIVO
14,2022-05-17,1469091555206123520,karate_kaninen,karatekaninen,according evidence johnny depps lawyer showed court today amber heard male seriously see misstake cross thinking lawyer bad,[],1,0,1, deppheardtrial deppvsheard jhonnydeppvsamberheard ,[],,"['according', 'evidence', 'johnny', 'depps', 'lawyer', 'showed', 'court', 'today', 'amber', 'heard', 'male', 'seriously', 'see', 'misstake', 'cross', 'thinking', 'lawyer', 'bad']",1,17,123,5.888888888888889,johnny,-0.6369,0.245,0.755,0.0,NEUTRALE
15,2022-05-17,1518917881119059968,simplyslj,Simply SLJ 🏴‍☠️🏴‍☠️🏴‍☠️,produce metadata sanction motion her… ok eve lying liar lie 🤣🤣🤣😂😂 theemilydbaker,"[{'screen_name': 'theemilydbaker', 'name': 'emily d. baker ⚖️ 💜', 'id': '22594853'}]",0,5,32, amberheard johnnydeppvsamberheard deppvsheard istandwithamberheard johnnydeppvsamberheardtrial justiceforjohnny amberheardlsaliar ,[],,"['produce', 'metadata', 'sanction', 'motion', 'her…', 'ok', 'eve', 'lying', 'liar', 'lie', '🤣🤣🤣😂😂', 'theemilydbaker']",1,12,80,5.75,,-0.6705,0.374,0.503,0.123,NEGATIVO
16,2022-05-16,1518917881119059968,simplyslj,Simply SLJ 🏴‍☠️🏴‍☠️🏴‍☠️,😂😂😂😂😂🤣🤣🤣🤣 deep breath 🤣🤣🤣🤣😂😂😂😂😂 thats losing look legalbytesmedia theemilydbaker,"[{'screen_name': 'legalbytesmedia', 'name': 'legal bytes 🍽💙', 'id': '1262475778631106560'}, {'screen_name': 'theemilydbaker', 'name': 'emily d. baker ⚖️ 💜', 'id': '22594853'}]",0,0,19, johnnydeppvsamberheard deppvsheard lawnerds istandwithamberheard johnnydeppvsamberheardtrial justiceforjohnny amberheard amberheardlsaliar ,[],,"['😂😂😂😂😂🤣🤣🤣🤣', 'deep', 'breath', '🤣🤣🤣🤣😂😂😂😂😂', 'thats', 'losing', 'look', 'legalbytesmedia', 'theemilydbaker']",1,9,80,8.0,,-0.3818,0.245,0.755,0.0,NEGATIVO
